Id	Name	SecondName	SeasonName	TabImage	PrefixName	HelpId[0]	HelpId[1]	BgIcon	RewardType	RewardParams[0]	RewardParams[1]	RewardParams[2]	RewardParams[3]	StageIds[0]	StageIds[1]	StageIds[2]	StageIds[3]	StageIds[4]	StageIds[5]	RandomStageId	DailyOpentime[1]	DailyOpentime[2]	DailyOpentime[3]
101	Solo	Technique Challenge		Assets/Product/Texture/Image/UiSummerEpisode/tab02.png	STN	10034	10035	Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg02.png	2	10101	10102	10103		30031101	30031201								
102	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png	OLE	10036	10037	Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg03.png	1	11801	11802	11803		30031301	30031001								
103	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png	OLE	10053		Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg.png	1	11804	11805	11806	11807	30031406									
104	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png	OLE	10053		Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg.png	1	11808	11809	11810		30031501	30031502	30031503	30031504	30031505					
105	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png			10100							30031506	30031507	30031508							
106	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png			10120							30065001	30065002								
107	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png			10131							30031516	30031517					1			
108	Multiplayer	Combined Forces	Clash Wonderland	Assets/Product/Texture/Image/UiSummerEpisode/tab03.png			10141							30061432									
109	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		10146								30031601	30031600	30031602				2			
110	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png			10141							30061433									
10001	Solo	Technique Challenge		Assets/Product/Texture/Image/UiSummerEpisode/tab02.png	STN	10034	10035	Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg02.png	2	1000101	1000102	1000103		30017003	30017002								
10002	Multiplayer	Combined Forces		Assets/Product/Texture/Image/UiSummerEpisode/tab03.png	OLE	10036	10037	Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg03_1_13.png	1	3000170	3000171	3000172		30017000	30017001						1:00|4:59	9:00|12:59	17:00|20:59
