Id	CharacterId	RewardId	HeadPortrait	LevelId	ConditionIds[0]	ConditionIds[1]	ConditionIds[2]
1	1011002		9000001	1			
2	1011002	10110020	9000001	2	40061001	40062001	
3	1011002	10110021	9000002	3	40061002	40062002	
4	1011002	10110022	9000003	4	40061003	40062003	40063001
5	1021001		9000001	1			
6	1021001	10210010	9000001	2	40061004	40062004	
7	1021001	10210011	9000002	3	40061005	40062005	
8	1021001	10210012	9000003	4	40061006	40062006	40063002
9	1031001		9000001	1			
10	1031001	10310010	9000001	2	40061007	40062007	
11	1031001	10310011	9000002	3	40061008	40062008	
12	1031001	10310012	9000003	4	40061009	40062009	40063003
13	1051001		9000001	1			
14	1051001	10510010	9000001	2	40061010	40062010	
15	1051001	10510011	9000002	3	40061011	40062011	
16	1051001	10510012	9000003	4	40061012	40062012	40063004
17	1031002		9000001	1			
18	1031002	10310020	9000001	2	40061013	40062013	
19	1031002	10310021	9000002	3	40061014	40062014	
20	1031002	10310022	9000003	4	40061015	40062015	40063005
21	1021002		9000001	1			
22	1021002	10210020	9000001	2	40061016	40062016	
23	1021002	10210021	9000002	3	40061017	40062017	
24	1021002	10210022	9000003	4	40061018	40062018	40063006
25	1031003		9000001	1			
26	1031003	10310030	9000001	2	40061019	40062019	
27	1031003	10310031	9000002	3	40061020	40062020	
28	1031003	10310032	9000003	4	40061021	40062021	40063007
29	1061003		9000001	1			
30	1061003	10610030	9000001	2	40061022	40062022	
31	1061003	10610031	9000002	3	40061023	40062023	
32	1061003	10610032	9000003	4	40061024	40062024	40063008
33	1081002		9000001	1			
34	1081002	10810020	9000001	2	40061025	40062025	
35	1081002	10810021	9000002	3	40061026	40062026	
36	1081002	10810022	9000003	4	40061027	40062027	40063009
37	1071002		9000001	1			
38	1071002	10710020	9000001	2	40061028	40062028	
39	1071002	10710021	9000002	3	40061029	40062029	
40	1071002	10710022	9000003	4	40061030	40062030	40063010
41	1061002		9000001	1			
42	1061002	10610020	9000001	2	40061031	40062031	
43	1061002	10610021	9000002	3	40061032	40062032	
44	1061002	10610022	9000003	4	40061033	40062033	40063011
45	1041002		9000001	1			
46	1041002	10410020	9000001	2	40061034	40062034	
47	1041002	10410021	9000002	3	40061035	40062035	
48	1041002	10410022	9000003	4	40061036	40062036	40063012
49	1071003		9000001	1			
50	1071003	10710030	9000001	2	40061037	40062037	
51	1071003	10710031	9000002	3	40061038	40062038	
52	1071003	10710032	9000003	4	40061039	40062039	40063013
53	1011003		9000001	1			
54	1011003	10110030	9000001	2	40061040	40062040	
55	1011003	10110031	9000002	3	40061041	40062041	
56	1011003	10110032	9000003	4	40061042	40062042	40063014
57	1051003		9000001	1			
58	1051003	10510030	9000001	2	40061043	40062043	
59	1051003	10510031	9000002	3	40061044	40062044	
60	1051003	10510032	9000003	4	40061045	40062045	40063015
61	1021003		9000001	1			
62	1021003	10210030	9000001	2	40061046	40062046	
63	1021003	10210031	9000002	3	40061047	40062047	
64	1021003	10210032	9000003	4	40061048	40062048	40063016
65	1081003		9000001	1			
66	1081003	10810030	9000001	2	40061049	40062049	
67	1081003	10810031	9000002	3	40061050	40062050	
68	1081003	10810032	9000003	4	40061051	40062051	40063017
69	1091002		9000001	1			
70	1091002	10910020	9000001	2	40061052	40062052	
71	1091002	10910021	9000002	3	40061053	40062053	
72	1091002	10910022	9000003	4	40061054	40062054	40063018
73	1041003		9000001	1			
74	1041003	10410030	9000001	2	40061055	40062055	
75	1041003	10410031	9000002	3	40061056	40062056	
76	1041003	10410032	9000003	4	40061057	40062057	40063019
77	1111002		9000001	1			
78	1111002	11110020	9000001	2	40061058	40062058	
79	1111002	11110021	9000002	3	40061059	40062059	
80	1111002	11110022	9000003	4	40061060	40062060	40063020
81	1121002		9000001	1			
82	1121002	11210020	9000001	2	40061061	40062061	
83	1121002	11210021	9000002	3	40061062	40062062	
84	1121002	11210022	9000003	4	40061063	40062063	40063021
85	1021004		9000001	1			
86	1021004	10210040	9000001	2	40061064	40062064	
87	1021004	10210041	9000002	3	40061065	40062065	
88	1021004	10210042	9000003	4	40061066	40062066	40063022
89	1131002		9000001	1			
90	1131002	11310020	9000001	2	40061067	40062067	
91	1131002	11310021	9000002	3	40061068	40062068	
92	1131002	11310022	9000003	4	40061069	40062069	40063023
93	1511003		9000001	1			
94	1511003	15110030	9000001	2	40061070	40062070	
95	1511003	15110031	9000002	3	40061071	40062071	
96	1511003	15110032	9000003	4	40061072	40062072	40063024
97	1141003		9000001	1			
98	1141003	11410030	9000001	2	40061073	40062073	
99	1141003	11410031	9000002	3	40061074	40062074	
100	1141003	11410032	9000003	4	40061075	40062075	40063025
101	1521003		9000001	1			
102	1521003	15210030	9000001	2	40061076	40062076	
103	1521003	15210031	9000002	3	40061077	40062077	
104	1521003	15210032	9000003	4	40061078	40062078	40063026
105	1161002		9000001	1			
106	1161002	11610020	9000001	2	40061079	40062079	
107	1161002	11610021	9000002	3	40061080	40062080	
108	1161002	11610022	9000003	4	40061081	40062081	40063027
109	1171003		9000001	1			
110	1171003	11710030	9000001	2	40061082	40062082	
111	1171003	11710031	9000002	3	40061083	40062083	
112	1171003	11710032	9000003	4	40061084	40062084	40063028
113	1181003		9000001	1			
114	1181003	11810030	9000001	2	40061085	40062085	
115	1181003	11810031	9000002	3	40061086	40062086	
116	1181003	11810032	9000003	4	40061087	40062087	40063029
117	1191003		9000001	1			
118	1191003	11910030	9000001	2	40061088	40062088	
119	1191003	11910031	9000002	3	40061089	40062089	
120	1191003	11910032	9000003	4	40061090	40062090	40063030
121	1201003		9000001	1			
122	1201003	12010030	9000001	2	40061091	40062091	
123	1201003	12010031	9000002	3	40061092	40062092	
124	1201003	12010032	9000003	4	40061093	40062093	40063031
125	1211002		9000001	1			
126	1211002	12110020	9000001	2	40061094	40062094	
127	1211002	12110021	9000002	3	40061095	40062095	
128	1211002	12110022	9000003	4	40061096	40062096	40063032
129	1531003		9000001	1			
130	1531003	15310030	9000001	2	40061097	40062097	
131	1531003	15310031	9000002	3	40061098	40062098	
132	1531003	15310032	9000003	4	40061099	40062099	40063033
133	1121003		9000001	1			
134	1121003	11210030	9000001	2	40061100	40062100	
135	1121003	11210031	9000002	3	40061101	40062101	
136	1121003	11210032	9000003	4	40061102	40062102	40063034
137	1221002		9000001	1			
138	1221002	12210020	9000001	2	40061103	40062103	
139	1221002	12210021	9000002	3	40061104	40062104	
140	1221002	12210022	9000003	4	40061105	40062105	40063035
141	1131003		9000001	1			
142	1131003	11310030	9000001	2	40061103	40062103	
143	1131003	11310031	9000002	3	40061104	40062104	
144	1131003	11310032	9000003	4	40061105	40062105	40063036
145	1541003		9000001	1			
146	1541003	15410030	9000001	2	40061103	40062103	
147	1541003	15410031	9000002	3	40061104	40062104	
148	1541003	15410032	9000003	4	40061105	40062105	40063037
149	1031004		9000001	1			
150	1031004	10310040	9000001	2	40061103	40062103	
151	1031004	10310041	9000002	3	40061104	40062104	
152	1031004	10310042	9000003	4	40061105	40062105	40063038
153	1531004		9000001	1			
154	1531004	15310040	9000001	2	40061103	40062103	
155	1531004	15310041	9000002	3	40061104	40062104	
156	1531004	15310042	9000003	4	40061105	40062105	40063039
157	1551003		9000001	1			
158	1551003	15510030	9000001	2	40061103	40062103	
159	1551003	15510031	9000002	3	40061104	40062104	
160	1551003	15510032	9000003	4	40061105	40062105	40063040
161	1051004		9000001	1			
162	1051004	10510040	9000001	2	40061103	40062103	
163	1051004	10510041	9000002	3	40061104	40062104	
164	1051004	10510042	9000003	4	40061105	40062105	40063041
165	1561003		9000001	1			
166	1561003	15610030	9000001	2	40061103	40062103	
167	1561003	15610031	9000002	3	40061104	40062104	
168	1561003	15610032	9000003	4	40061105	40062105	40063042
169	1071004		9000001	1			
170	1071004	10710040	9000001	2	40061103	40062103	
171	1071004	10710041	9000002	3	40061104	40062104	
172	1071004	10710042	9000003	4	40061105	40062105	40063043
173	1571003		9000001	1			
174	1571003	15710030	9000001	2	40061103	40062103	
175	1571003	15710031	9000002	3	40061104	40062104	
176	1571003	15710032	9000003	4	40061105	40062105	40063044
177	1041004		9000001	1			
178	1041004	10410040	9000001	2	40061103	40062103	
179	1041004	10410041	9000002	3	40061104	40062104	
180	1041004	10410042	9000003	4	40061105	40062105	40063045
181	1231002		9000001	1			
182	1231002	12310020	9000001	2	40061103	40062103	
183	1231002	12310021	9000002	3	40061104	40062104	
184	1231002	12310022	9000003	4	40061105	40062105	40063046
