Id	EquipType	ItemId	ItemCount	ItemCountByHour	WeaponSkillId	EffectTimeStr	ExpireTimeStr
12010001	1	45	6	2		2023/2/14 10:00	
12020001	2	45	6	2			
12020002	2	45	6	2		2024/11/30 10:00	
12020003	2	45	6	2		2024/11/30 10:00	
12020004	2	45	6	2			
12030001	3	45	6	2			
12030002	3	45	6	2			
12031001	3	45	6	2			
12040001	4	45	6	2			
12040002	4	45	6	2			
12040003	4	45	6	2			
12050001	5	45	6	2			
12050002	5	45	6	2			
12060001	6	45	6	2			
12060002	6	45	6	2			
12060003	6	45	6	2			
12060004	6	45	6	2			
12070001	7	45	6	2			
12070002	7	45	6	2			
12070003	7	45	6	2			
12100001	10	45	6	2			
12110001	11	45	6	2			
12110002	11	45	6	2		2023/11/9 2:00	
12130001	13	45	6	2			
12130002	13	45	6	2			
12170001	17	45	6	2			
12170002	17	45	6	2			
12170003	17	45	6	2		2023/11/9 7:00	
12180001	18	45	6	2			
12190001	19	45	6	2			
12200001	20	45	6	2			
12200002	20	45	6	2		2023/7/15 8:00	
12220001	22	45	6	2		2023/6/15 7:00	
12230001	23	45	6	2			
12230002	23	45	6	2			
12240001	24	45	6	2			
12240002	24	45	6	2			
12240003	24	45	6	2			
12260001	26	45	6	2			
12300001	30	45	6	2			
12021001	2	45	6	2			
12051001	5	45	6	2			
