Id	NpcId	FashionId	SettleTime	Desc
10	1001	0	0	Lee: Palefire (Fashion ID Path)
20	1002	0	0	Lucia: Lotus
30	1003	0	0	Liv: Eclipse
40	1004	0	0	Bianca: Zero
50	1005	0	0	Nanami: Storm
60	1006	0	0	Kamui: Bastion
70	1007	0	0	Karenina: Blast
71	1007	0	0	Karenina: Blast
80	1008	0	0	Watanabe: Nightblade
90	1009	0	0	Ayla: Brilliance
100	1011	0	0	Lee: Entropy
110	1012	0	0	Lucia: Dawn
120	1013	0	0	Liv: Lux
130	1014	0	0	Bianca: Veritas
140	1015	0	0	Nanami: Pulse
150	1016	0	0	Kamui: Tenebrion
160	1017	6710308	5.5	Karenina: Ember (Deed of Snow Leopard, Kitty)
161	1017	0	5.5	Karenina: Ember
170	1018	0	0	Watanabe: Astral
180	1022	0	0	Lucia: Crimson Abyss
190	1023	0	0	Liv: Luminance
200	1032	0	0	Lucia: Plume
210	1101	0	4.7	Sophia: Silverfang
220	1102	0	0	Chrome: Arclight
230	1103	0	0	Vera: Rozen
240	1104	0	0	Camu: Crocotta
250	1105	0	4.2	Rosetta: Rigor
251	1105	6000506	6	Rosetta: Rigor (Auto-Racing Coating)
260	1106	0	0	Qu: Pavo
270	1107	0	0	Changyu: Qilin
280	1108	0	0	Luna
290	1201	0	0	2B
300	1202	0	0	A2
310	1203	0	0	9S
320	1109	0	0	Wanshi
330	1301	0	0	Selena
340	1112	0	0	Chrome S
350	1303	0	0	No. 21 Rank 2
360	1302	0	0	Roland
370	1113	0	4.2	Vera Rank 3 (Normal Coating Result Calculation Time)
371	1113	6001605	6.2	Vera Rank 3 (2022 Summer Swimsuit Result Calculation Time)
380	1033	0	4.2	Liv Rank 4
381	1033	6001805	6.9	Liv Rank 4 (2022 Summer Coating)
390	1311	0	0	Selena: Capriccio
400	1304	0	0	Pulao: Dragontoll
410	1054	0	0	Nanami: Starfarer
420	1305	0	0	Haicma: Starveil
430	1027	0	0	Karenina: Scire
440	1306	0	0	Noan
