CharacterId	Feature[1]	Name[1]	Icon[1]	Description[1]	Feature[2]	Name[2]	Icon[2]	Description[2]	Feature[3]	Name[3]	Icon[3]	Description[3]
1011002	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Palefire can deal damage efficiently.\n1. The Red Orb Ping after a Yellow Orb Ping will also deal Fire DMG.\n2. Red Orbs and Yellow Orbs can deal high frequency attacks.	2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Palefire can deal high frequency attacks.\n1. The Red Orb Ping after a Yellow Orb Ping will also deal Fire DMG.\n2. Red Orbs and Yellow Orbs can deal high frequency attacks.				
1021001	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Lotus can deal damage efficiently.\n1. Ping Red Orb(s) after any 3-Ping to enter Burst form and deal multiple-hit Physical DMG.	2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Lotus can deal high frequency attacks.\n1. Ping Red Orb(s) after any 3-Ping to enter Burst form and deal multiple-hit Physical DMG.				
1031001	16	Support	Assets/Product/Texture/Image/IconType/IconCharacter2.png	Eclipse can restore teammates' HP and boost the recovery speed of Reinforcement Energy.\n1. Ping Yellow Orbs to pull enemies.\n2. Ping Blue Orbs to restore teammates' HP.\n3. Ping Red Orb(s) after any 3-Ping to deal multiple-hit Physical DMG.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Eclipse can pull enemies.\n1. Ping Yellow Orbs to pull enemies.\n2. Ping Blue Orbs to restore teammates' HP.\n3. Ping Red Orbs after any 3-Ping to deal multiple-hit Physical DMG.				
1041002	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Zero can deal ranged high frequency attacks.\n1. Red, Yellow, and Blue Orbs can all deal multiple-hit Physical DMG.\n2. Each 3-Ping will increase the Physical DMG dealt by the next Signature Move.	17	Ranged Damage	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	Zero can deal ranged attacks against enemies.\n1. Red, Yellow, and Blue Orbs can all deal multiple-hit Physical DMG.\n2. Each 3-Ping will increase the Physical DMG dealt by the next Signature Move.	2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Zero can deal high frequency attacks.\n1. Red, Yellow, and Blue Orbs can all deal multiple-hit Physical DMG.\n2. Each 3-Ping will increase the Physical DMG dealt by the next Signature Move.
1051001	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Storm can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Ping Blue Orbs to reduce the target's DEF and gain Physical Resistance.\n2. Ping Yellow Orb(s) after any 3-Ping to deal lasting Physical DMG to nearby enemies.	8	Damage Reduction	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Storm can reduce the damage taken by team members.\n1. Storm's Signature Moves can protect team members for 5s and resist Physical DMG by enemies.				
1061002	15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Bastion can draw aggression, gain Super Armor, and have 30% DMG Reduction.\n1. Ping Yellow Orb(s) to enter Block form and enhance DEF, and then counterattack and deal Physical DMG.\n2. Ping Blue Orbs to stun enemies.	9	Control	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	Bastion can control enemies.\n1. Ping Yellow Orb(s) to enter Block form and enhance DEF, and then counterattack and deal Physical DMG.\n2. Ping Blue Orbs to stun enemies.				
1071002	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Blast can deal damage efficiently.\n1. Ping Blue Orbs to pull enemies.\n2. Perform 3 3-Pings or cast a Signature Move to enter Burst mode and launch ranged cannon attacks.	7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Blast can pull enemies.\n1. Ping Blue Orbs to pull enemies.\n2. Perform 3 3-Pings or cast a Signature Move to enter Burst mode and launch ranged cannon attacks.				
1081002	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Nightblade can deal damage efficiently.\n1. Ping Blue Orb(s) and if they deal damage to the enemy from behind, the damage will be guaranteed to be critical.\n2. After 2 successful 3-Pings, summon a shade to deal lasting high frequency Physical DMG.	6	Critical Hit	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Nightblade is more likely to deal CRIT DMG.\n1. Ping Blue Orb(s) and if they deal damage to the enemy from behind, the damage will be guaranteed to be critical.\n2. After 2 successful 3-Pings, summon a shade to deal lasting high frequency Physical DMG.	2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Nightblade can deal high frequency attacks.\n1. Ping Blue Orb(s) and if they deal damage to the enemy from behind, the damage will be guaranteed to be critical.\n2. After 2 successful 3-Pings, summon a shade to deal lasting high frequency Physical DMG.
1021002	14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Dawn can deal damage efficiently.\n1. Ping Yellow Orbs and Blue Orbs to stack up marks on enemies and deal multiple-hit damage.\n2. Attacking enemies with marks will deal additional damage to them.\n3. Activate a Signature Move to enter Burst form for basic attacks to deal 25% Extra DMG.	2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Dawn can deal high frequency attacks.\n1. Ping Yellow Orbs and Blue Orbs to stack up marks on enemies and deal multiple-hit damage.\n2. Attacking enemies with marks will deal additional damage to them.\n3. Activate a Signature Move to enter Burst form for basic attacks to deal 25% Extra DMG.				
1031002	16	Support	Assets/Product/Texture/Image/IconType/IconCharacter2.png	Lux can restore team members' HP and control enemies.\n1. Ping Blue Orb(s) to create an Ion Wall that can slow down enemies.\n2. Ping Yellow Orb(s) to mildly pull enemies.\n3. QTE can heal team members.\n4. Trigger Lightening 4 times via Signature Moves to heal allies.	9	Control	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	Lux can control enemies.\n1. Ping Blue Orb(s) to create an Ion Wall that can slow down enemies.\n2. Ping Yellow Orb(s) to mildly pull enemies.				
