Id	EffectType	EffectParamStr	DrawGroupIds[0]	DrawGroupIds[1]	DrawGroupIds[2]	FreeNum	Name	Description	WorldDescription	Icon	BigIcon	Quality
21000001	2	1	11	15		1	Sign of Summer R&D Ticket	Use it to research Themed Character/Fate Themed Character for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000002	2	1	4			1	Sign of Summer R&D Ticket	Use it to research Target Weapons for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000003	2	1	1			1	Sign of Summer R&D Ticket	Use it to research basic characters for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000004	2	1	12	13		1	Sign of Summer R&D Ticket	Use it to research Arrival Target Character/Fate Arrival Target Character for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000005	2	1	11	15		1	Sign of Summer R&D Ticket	Use it to research Themed Character/Fate Themed Character for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000006	2	1	4			1	Sign of Summer R&D Ticket	Use it to research Target Weapons for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000007	2	1	1			1	Sign of Summer R&D Ticket	Use it to research basic characters for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000008	2	1	12	13		1	Sign of Summer R&D Ticket	Use it to research Arrival Target Character/Fate Arrival Target Character for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000009	2	1	4			1	Sign of Summer R&D Ticket	Use it to research Target Weapons for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000010	2	1	1			1	Sign of Summer R&D Ticket	Use it to research basic characters for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000011	2	1	11	15		1	Sign of Summer R&D Ticket	Use it to research Themed Character/Fate Themed Character for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000012	2	1	4			1	Sign of Summer R&D Ticket	Use it to research Target Weapons for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000013	2	1	1			1	Sign of Summer R&D Ticket	Use it to research basic characters for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000014	2	1	12	13		1	Sign of Summer R&D Ticket	Use it to research Arrival Target Character/Fate Arrival Target Character for free	A R&D Ticket issued to all team members. Use it on R&D devices.	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
