Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType	FollowHeightJoint	BindLauncherFrame	BindSkillFrame	SlopeTargetJoint	IgnoreCollideType
97640601	向前推-1	1	2	6		1	0			4			0.4						-1								-1			1					0	0	0										0							0	3				976406011	801050									0	HitCase		1		1				0												1							
97640901	向下打-1	1	2.5	2		1	0			4			0.1						-1								-1			1					0	0	0										0							0	1				976409011	801050									0	HitCase		1		1				0																			
97650603	丢石头-3	2	0.5			0	10			4			6						-1					Bip001RFinger02	FxGravel		-1			3	-15	0	10	0.2	0	0	0										0							0	1				976506031	801050									1	HitCase		0		1				0																			
93300304	下砸攻击盒	2	4			1	0			4			0.1						-1	0							-1			1					0	0	0										0							0	1				933003041	801050									0	HitCase		0		1				1																			
93300505	第一次攻击盒	3	5	180		-2	0			4			0.1						-1								-1			1					0	0	0										0							0	1				933005051	801050									0	HitCase		0		1				1																			
93300506	第二次攻击盒	1	4	4.5		1	0			4			0.1						-1								-1			1					0	0	0										0							0	1				933005061	801050									0	HitCase		1		1				1																			
93300707	第一击攻击盒	3	4	180		-1	0			4			0.2						-1								-1			1					0	0	0										0							0	1				933007071	801050									0	HitCase		0		1				1																			
93300708	第二击攻击盒	3	4	180		-1	0			4			0.2						-1								-1			1					0	0	0										0							0	1				933007081	801050									0	HitCase		0		1				1																			
93320101	跃起砸击-攻击盒	1	3	5		1.5	0			4			0.1						-1								-1			1					0	0	0										0							0	1				933201011	801050									0	HitCase		1		1				1																			
93320108	跃起砸击-地裂特效	1	2	4			0			4			0.2						-1						FxMe1PuppetAtk01Dilie		-1			1					0	0	0										0							0	1														0	HitCase		0		1				0																			
