Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic
50010404		2	0.3				0			4			10						999						FxR2LiangAttack5102		-1			1																								0																																					
50010709		2	0.3				0			4			10						999						FxHuanjueseLan		-1			1																								0																																					
50011604		2	0.3				0			4			10						999						FxR2LiangAttack5103		-1			1																								0																																					
50020101		2	0.3			3	0			4			10						999						FxR2KalieninaAttack21Dandao		-1			1																								0																																					
50020203		2	0.3				0			4			10						999						FxR2KalieninaAttack41		-1			1																								0																																					
50020204		2	0.3				0			4			10						999								-1			1																								0																																					
50020404		2	0.3			5	0			4			5						999						FxR2KalieninaAttack51Yujing		-1			1																								0																																					
50020510		2	0.3				0			4			10						999						FxR2KalieninaAttack11Dandao		-1			1																								0																																					
50020601		2	0.3			3	0			4			10						999						FxR2KalieninaAttack21Dandao		-1			1																								0																																					
50020710		2	0.3			1	0			4			10						999						FxR2KalieninaAttack11Dandao		-1			1																								0																																					
50020718		2	0.3			1	0			4			10						999						FxR2KalieninaAttack11Dandao		-1			1																								0																																					
50020905		2	0.3				0			4			10						999						FxR2KalieninaAttack33Dandao		-1			1																								0																																					
50021004		2	0.3			5	0			4			5						999						FxR2KalieninaAttack51Yujing		-1			1																								0																																					
50021301		2	0.3				0			4			10						999						FxR2KalieninaAttack23Dandao		-1			1																								0																																					
50021307		2	0.3				0			4			10						999						FxQte		-1			1																								0																																					
50021308		2	0.3				0			4			10						999						FxQte		-1			1																								0																																					
50021603		2	0.3				0			4			10						999						FxR2KalieninaAttack41		-1			1																								0																																					
