Id	Options[1]	Options[2]	Options[3]	Options[4]	Options[5]	Options[6]	Options[7]	Options[8]	Options[9]	Options[10]	TimeToEnd	Style
1503011701	Agree	Decline									0	1
101012601	Leave	Hold Luna's hand									0	1
1013013001	Connection	Do not connect									5	1
1501040501	Saffron pill.	Sapien's pill.	Code. Remember.	Sapien's will.							10	1
1501040502	Use disguise (puzzle-solving)	Do not use disguise (battle)									5	1
10140901	Turn the valve	Don't turn the valve									0	1
10140902	About the key...	Leave for the moment									0	1
10140903	Open the door and go in	Leave for the moment									0	1
10140904	Open the door	Don't open the door									0	1
10140905	Pick up the key	Don't pick the key up									0	1
10140906	Operate equipment	Don't start the equipment									0	1
10141201	Handle Red Tide first	Find the Control Room first									0	1
11150300	Leisure Area	Hall Area	Restaurant Area	Stay put							0	1
11150301	Interact with device	Leave									0	1
11150302	Interact with device	Attempt to decipher									0	1
11150303	Interact with device	Leave	Use device as a relay point to decipher								0	1
11150310	Leisure Area (Current Location)	Hall Area	Restaurant Area	Stay put							0	1
11150311	Leisure Area	Hall Area (Current Location)	Restaurant Area	Stay put							0	1
11150312	Leisure Area	Hall Area	Restaurant Area (Current Location)	Stay put							0	1
11150378	Log A										0	1
11150379	Confirm	Cancel									0	1
11150380	Reset Log	Log A (Current)									0	1
11150381	Reset Log	Log A (Current)	Log B								0	1
11150382	Reset Log	Log A	Log B (Current)								0	1
11150383	Reset Log	Log A (Current)	Log B	Log C							0	1
11150384	Reset Log	Log A	Log B (Current)	Log C							0	1
11150385	Reset Log	Log A	Log B	Log C (Current)							0	1
11150400	Confirm	Cancel									0	1
11150401	Log A	Cancel									0	1
11150402	Log B	Cancel									0	1
11150403	Log C	Cancel									0	1
11150404	Interact with device	Leave	Locate rift here								0	1
11150405	Start calibration	Leave									0	1
11150406	Interact with device	Leave									0	1
11150407	Reset all logs	Leave									0	1
11150601	Start simulation	Leave									0	1
11150602	Start simulation	Leave	Decipher								0	1
30090706	Win and Complete	Continue fighting									0	1
1014010101	Exit virtual training	Train for a bit more									0	1
1501060701	The blood of the old gods flows into the sea like stream	A Red Moon rises beside the rebellious fate	Hell, Oppressors have sunk to Hell	The Libators are reciting a new chapter							0	1
131301201	Construct Leader	Female Construct	Construct Soldier	Resume Investigation							0	1
1502012201	Cross the River From the Left (Battle)	Cross the River From the Right (No Battle)									0	1
101801151	Start New Challenge	Abandon Challenge									0	1
101801152	Abandon Challenge	Abandon Challenge									0	1
101801153	Continue	Cancel									0	1
101801154	End it here (stage victory)	Cancel									0	1
101801155	You can do it	Give up									0	1
101801156	I'm sorry... (Stage Complete)	Don't give up!									0	1
101801157	You can do it	There's nothing I can do...									0	1
101801101	Teleport to the endpoint area	No need									0	1
301311220	Yes (Suggested. Turn on the volume in the system settings.)	Decline									0	1
1502021400	Destroy Directly (Triggers Battle)	Try to Activate									0	1
1502021500	Break Through Directly (Triggers Battle)	Hidden Action (Investigate Around)									0	1
301305051	Red Button	Blue Button	Yellow Button								0	1
301305052	Red Button	Blue Button	Yellow Button	Auto Enter (Blue Red Yellow)							0	1
301305053	Fireworks	Chocolate									0	1
301305054	Continue	Pause									0	1
1019011101	Operate	View Operation Instructions		Stop							0	1
1502031101	Retreat	Destroy yourselves									0	1
969918041	Dialogue	Purchase	Challenge	Send Gift	I want many many Cogs	Dialogue	Purchase	Challenge	Send Gift	I want many many Cogs	0	2
969918042	Beat him up										0	2
102001091	Electric Defense Tower (Electric DMG)	Gravity Defense Tower (Make Enemy Float)	Spirit Control Tower (Control Enemy)								0	2
1020010300	Skip the stage	Do not skip the stage									0	1
1014011101	Let Camu break the obstacle	Do not break the obstacle for now									0	1
