Id	Content	BehaviorId	OptionShowTime	EmptySkipId	RepeatId	Options[0]	Options[1]	Options[2]	SkipIds[0]	SkipIds[1]	SkipIds[2]
10101	Commandant, I'm here.	Talk_Idle	1500			About Summer	About the Island	Goodbye	10102	10105	10108
10102	Summer? I love the warm feeling... But I'll always have this warm feeling as long as I'm with everyone in Gray Raven. What about you, Commandant? Do you feel the same?		1500		10103	About Summer	About the Island	Goodbye	10102	10105	10108
10103	Feeling hot? Well... I think there are chilled watermelon and cold drinks over there. Liv should also have some things to cool you down. No, I can't do that. You would be frostbitten if I cool you off.		1500		10104	About Summer	About the Island	Goodbye	10102	10105	10108
10104	Whew... Maybe I can have some ice cream to cool down...		1500			About Summer	About the Island	Goodbye	10102	10105	10108
10105	There seems to be a grill over there. It's nice to have a barbecue in an outdoor vacation like this, right? But Liv told me to be careful with it... I wonder what she meant...		1500		10106	About Summer	About the Island	Goodbye	10102	10105	10108
10106	Commandant, not sure if you notice it. The footprints we left when we set foot on this island were washed away by the sea... But the sea will remember them, and so will I.		1500		10107	About Summer	About the Island	Goodbye	10102	10105	10108
10107	Have you got a plan for our holiday, Commandant?		1500			About Summer	About the Island	Goodbye	10102	10105	10108
10108	I'll be here for the time being, Commandant.	SummerNpc_Luxiya_Endtalk									
10201	Is there anything I can help with, Commandant?	Talk_Idle	1500			About the Island	About Liv	Goodbye	10202	10205	10208
10202	I had scanned the entire island before we landed. It's completely safe. The only hidden danger on this island is... that grill over there.		1500		10203	About the Island	About Liv	Goodbye	10202	10205	10208
10203	You also noticed the stage, Commandant? There are instruments on it. It's said that they were left for the visitors. Would you like to give them a try?		1500		10204	About the Island	About Liv	Goodbye	10202	10205	10208
10204	This island is warm enough even though it's isolated.		1500			About the Island	About Liv	Goodbye	10202	10205	10208
10205	Me? If I can, I would like to bring a coconut back and see if I can plant it. Not sure what kind of coconut tree it would grow into in the space... No, of course I won't plant it directly in our lounge.		1500		10206	About the Island	About Liv	Goodbye	10202	10205	10208
10206	I feel... secure. The wind, the sunshine, and the warm sand will always make me feel relaxed... Do you feel the same, Commandant?		1500		10207	About the Island	About Liv	Goodbye	10202	10205	10208
10207	I'll remember this holiday we spend together, Commandant.		1500			About the Island	About Liv	Goodbye	10202	10205	10208
10208	Goodbye, Commandant. I'll always be here.	SummerNpc_Lifu_Endtalk									
10301	Hi, Commandant.	Talk_Idle	1500			About Summer	About the Sea	Goodbye	10302	10305	10308
10302	In my memory, summer is always full of suffocating dust or a rain that won't stop for dozens of days. It's never this clear and bright. And most importantly, it's comfortable here.		1500		10303	About Summer	About the Sea	Goodbye	10302	10305	10308
10303	Have you watched the Summer Brawl before? It is an anime from the Golden Age. I think it's a perfect fit for this happy and relaxing time.		1500		10304	About Summer	About the Sea	Goodbye	10302	10305	10308
10304	I'm already very happy to be able to pass a peaceful summer.		1500			About Summer	About the Sea	Goodbye	10302	10305	10308
10305	Look! Is that a seagull? I only saw its illustration before, but I can still recognize it just like that. It must be wonderful to fly freely between the sky and the sea... This is, of course, one of my wishes as well.		1500		10306	About Summer	About the Sea	Goodbye	10302	10305	10308
10306	I actually had a horrible first impression on the sea, but now I finally get the chance to look at it quietly... What's on the other side of the sea?		1500		10307	About Summer	About the Sea	Goodbye	10302	10305	10308
10307	Go and have a look. What you see is what I want to see.		1500			About Summer	About the Sea	Goodbye	10302	10305	10308
10308	Goodbye, Commandant.	SummerNpc_Nuoan_Endtalk									
10401	Hmm... What's up, Commandant?	Talk_Idle	1500			About Summer	About the Island	Goodbye	10402	10405	10408
10402	Spring, summer, fall, and winter are all good seasons to take a sleep... Hmm? You feel the same?		1500		10403	About Summer	About the Island	Goodbye	10402	10405	10408
10403	Do you like this season? It is a sleepy season... Hmm? No, I don't want to go anywhere else. It's comfortable here. You go for me...		1500		10404	About Summer	About the Island	Goodbye	10402	10405	10408
10404	At least we have some great sunshine here, right?		1500			About Summer	About the Island	Goodbye	10402	10405	10408
10405	I checked the coastline, but today is the first time that I get to relax like this... What? We are on holiday? Then let me take a nap first...		1500		10406	About Summer	About the Island	Goodbye	10402	10405	10408
10406	Speaking of which, the beach chair is perfect to nap on, especially in the sea wind... Do you want to give it a go?		1500		10407	About Summer	About the Island	Goodbye	10402	10405	10408
10407	Hmm, Kamui has been asking me to play with him in the sea... What? You haven't seen him? Thank God...		1500			About Summer	About the Island	Goodbye	10402	10405	10408
10408	Good night... No, see you.	SummerNpc_Wanshi_Endtalk									
10501	Hello, Commandant.	Talk_Idle	1500			About the Sea	About Bianca	Goodbye	10502	10505	10508
10502	In my memory, the sea means more dangerous missions, but faith and purpose are like the rocks. They are unshakable...		1500		10503	About the Sea	About Bianca	Goodbye	10502	10505	10508
10503	How do you feel about the sea? It won't stay calm like this forever. It can be turbulent and terrifying... But will you still feel the same way you do when it's like that?		1500		10504	About the Sea	About Bianca	Goodbye	10502	10505	10508
10504	I miss the sea so bad.		1500			About the Sea	About Bianca	Goodbye	10502	10505	10508
10505	About the frames... Do you mind it? They are part of me, but I prefer to spend my holiday in a more relaxing way.		1500		10506	About the Sea	About Bianca	Goodbye	10502	10505	10508
