Id	Key	ActivityId	Page	TextFormat	DataName	Note
1	TxtCharaEnName	1	2	{0}	MaxAbilityCharacterEnName	Character Name (English) of Most Trained Character
2	TxtCharaFullName	1	2	{0}	MaxAbilityCharacterFullName	Name of Most Trained Character (Full)
3	TxtAbility	1	2	{0}	MaxAbility	BP of Most Trained Character
4	TxtLoveNum	1	2	You have reached "{1}" Affection with \n<color=#34AFF8><size=50>{0}</size></color> members	MaxTrustData	Characters with Max Affection
5	TxtPartnerNum	1	2	Currently owned: <color=#34AFF8><size=50>{0}</size></color>	PartnerCount	CUBs Owned
6	TxtPlayerName	1	2	{0}	Name	Commandant Name
7	TxtRegisterTime	1	2	{0}	CreateTime	Time Registered
8	TxtPlayDays	1	2	<color=#34AFF8>{0}</color> days have passed	ExistDayCount	Time Since Registration
9	TxtGuildName	1	2	{0}	GuildName	Guild Name
10	TxtMainStoryProgress	1	2	 <color=#34AFF8>{0}</color> {1}	MainLineStage	Main Mission Progress Stage Name {0} Progress ID {1} Stage Name
11	TxtMainChapter	1	2	{0}	BfrtSchedule	Stronghold Chapter Name
12	TxtAreaChapter	1	2	You have reached Area <color=#34AFF8>{0}</color>	AssignSchedule	Border Pact Progress
13	TxtPlayerName	1	5	{0}	Name	Commandant Name
14	TxtPlayerId	1	5	{0}	PlayerId	Commandant ID
15	TxtEnterDay	1	5	{0}	CreateTime	Time Registered
16	TxtPlayDay	1	5	{0}	ExistDayCount	Time Since Registration
17	TxtMedalNum	1	5	{0}	MedalCount	Medals Earned
18	TxtCollectionNum	1	5	{0}	ScoreTitleCount	Collectibles Obtained
19	TxtMemberCount	1	5	{0}	CharacterCnt	Characters Owned
20	TxtLoveNum	1	5	{0}	MaxTrustLvCharacterCnt	Characters with Max Affection
21	TxtMaxTrustName	1	5	{0}	MaxTrustName	Name of Character with Max Affection
22	TxtDormNum	1	5	{0}	DormCount	Dormitories Owned
23	TxtFurnitureNum	1	5	{0}	FurnitureCount	Decor Owned
24	TxtCharaEnName	2	2	{0}	MaxAbilityCharacterEnName	Character Name (English) of Most Trained Character
25	TxtCharaFullName	2	2	{0}	MaxAbilityCharacterFullName	Name of Most Trained Character (Full)
26	TxtAbility	2	2	{0}	MaxAbility	BP of Most Trained Character
27	TxtLoveNum	2	2	You have reached "Love" Affection with \n<color=#34AFF8><size=50>{0}</size></color> members	MaxTrustLvCharacterCnt	Characters with Max Affection
28	TxtPartnerNum	2	2	Currently owned: <color=#34AFF8><size=50>{0}</size></color>	PartnerCount	CUBs Owned
29	TxtPlayerName	2	2	{0}	Name	Commandant Name
30	TxtRegisterTime	2	2	{0}	CreateTime	Time Registered
31	TxtPlayDays	2	2	<color=#34AFF8>{0}</color> days have passed	ExistDayCount	Time Since Registration
32	TxtGuildName	2	2	{0}	GuildName	Guild Name
33	TxtMainStoryProgress	2	2	 <color=#34AFF8>{0}</color> {1}	MainLineStage	Main Mission Progress Stage Name {0} Progress ID {1} Stage Name
34	TxtMainChapter	2	2	{0}	BfrtSchedule	Stronghold
35	TxtAreaChapter	2	2	You have reached Area <color=#34AFF8>{0}</color>	AssignSchedule	Border Pact Progress
36	TxtPlayerName	2	5	{0}	Name	Commandant Name
37	TxtPlayerId	2	5	{0}	PlayerId	Commandant ID
38	TxtEnterDay	2	5	{0}	CreateTime	Time Registered
39	TxtPlayDay	2	5	{0}	ExistDayCount	Time Since Registration
40	TxtMedalNum	2	5	{0}	MedalCount	Medals Earned
41	TxtCollectionNum	2	5	{0}	ScoreTitleCount	Collectibles Obtained
42	TxtMemberCount	2	5	{0}	CharacterCnt	Characters Owned
43	TxtLoveNum	2	5	{0}	MaxTrustLvCharacterCnt	Characters with Max Affection
44	TxtMaxTrustName	1	5	{0}	MaxTrustName	Name of Character with Max Affection
45	TxtDormNum	2	5	{0}	DormCount	Dormitories Owned
46	TxtFurnitureNum	2	5	{0}	FurnitureCount	Decor Owned
