Id	CommunicationId	CommunicationType	CommunicationIcon	GroupId	Name	Condition	UnLockTime	Order	BtnContent	NpcName	NpcHandIcon	ContentsGroupId	UiType
1001	800	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1001	Valentine's Message: Lee	770200		1	Happy Valentine's Day, Lee.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	800	2
1002	801	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1001	Valentine's Message: Liv	770200		2	Happy Valentine's Day, Liv.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	801	2
1003	802	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1001	Valentine's Message: Kamui	770200		3	Happy Valentine's Day.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	802	2
1004	803	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1001	Valentine's Message: Lucia	770200		4	I like Lucia too. Happy Valentine's Day.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	803	2
1005	804	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1001	Valentine's Message: Nanami	770200		5	Thanks.	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	804	2
1006	805	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1001	Valentine's Message: Bianca	770200		6	Happy Valentine's Day, Bianca.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	805	2
1007	806	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1001	Valentine's Message: Karenina	770200		7	Thank... Thank you...	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	806	2
1008	807	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1001	Valentine's Message: Ayla	770200		8	Thanks.	Ayla	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	807	2
1009	808	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1001	Valentine's Message: Watanabe	770200		9	Happy Valentine's Day!	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	808	2
1010	809	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1001	Valentine's Message: α	770200		10	Thanks.	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	809	2
