Id	EventId	StepId	NextStepId	Type	FightNodeId	EffectGroupId	StepRewardItemType	StepRewardItemId[1]	StepRewardItemCount[1]	StepRewardItemId[2]	StepRewardItemCount[2]	StepRewardItemId[3]	StepRewardItemCount[3]	StoryId	OptionDesc[1]	OptionDownDesc[1]	OptionIcon[1]	OptionType[1]	OptionItemType[1]	OptionItemId[1]	OptionItemCount[1]	OptionNextStepGroupId[1]	OptionDesc[2]	OptionDownDesc[2]	OptionIcon[2]	OptionType[2]	OptionItemType[2]	OptionItemId[2]	OptionItemCount[2]	OptionNextStepGroupId[2]	OptionDesc[3]	OptionDownDesc[3]	OptionIcon[3]	OptionType[3]	OptionItemType[3]	OptionItemId[3]	OptionItemCount[3]	OptionNextStepGroupId[3]	OptionDesc[4]	OptionDownDesc[4]	OptionIcon[4]	OptionType[4]	OptionItemType[4]	OptionItemId[4]	OptionItemCount[4]	OptionNextStepGroupId[4]	Title	TitleContent	RoleIcon	RoleName	RoleContent	EventDesc	ConfirmContent	BgAsset
1	101	1011		2											Explore Bedroom	Go Deeper		3	0	0	0	10111	Explore Storage	Go Deeper		3	0	0	0	10112																	Abandoned Yard	You entered the abandoned yard.		Abandoned Yard	It's been deserted for a long time, but you may still find something useful.	You are back at the manor where you woke up. The inside reeks of rot and mildew. You itch to leave but a voice in your head urges you to explore this foreboding manor.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory388.png
2	101	1012		3			3	1	1																																						Abandoned Yard	You enter the manor's bedroom.		Abandoned Yard	Manor's Bedroom	You enter the bedroom of the manor and notice that someone has left an Artifact box for you on the table beside the bed where you woke up.	Open the box	Assets/Product/Texture/Image/BgStory/Bgstory372.png
3	101	1013		3			1	96119	8																																						Abandoned Yard	You enter the manor's storage.		Abandoned Yard	Manor's Storage	You are in the manor's storage. After waving away the dust in your face, you find some Tinbread Cookies in a box.	Keep them	Assets/Product/Texture/Image/BgStory/Bgstory387.png
4	102	1021		2											Take the gift	Take the gift		3	0	0	0	10211																									Cradle's gift	You met Cradle.	Assets/Product/Texture/Image/RoleStory/V130mlnNormal05.png	Cradle	Here's a small gift for you... Please take it...	For you, who follow the sound of the tide down the Path of the Curse Quellers, the girl has prepared a tiny gift that may help you on your journey.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory373.png
5	102	1022		3			3	1	1																																						Cradle's gift	You accept the gift.	Assets/Product/Texture/Image/RoleStory/V130mlnNormal04.png	Cradle	Hopefully, it'll be helpful on your journey.	A tiny gift may not be enough to clear all that stand in your way, but it carries the thoughts of Cradle.	Accept the gift	Assets/Product/Texture/Image/BgStory/Bgstory373.png
6	103	1031		2											Why not	Why not		3	0	0	0	10311	Rest up	Rest up		3	0	0	0	10312																	Everlasting Song	A ballad echoes here.	Assets/Product/Texture/Image/RoleStory/ZhongguochuanshangrenNormal02.png	Bard	Oh, honored companion, would you care to lend your ear for a piece?	After setting up camp somewhere remote, a bard with ragged clothes sits next to the fire you just started and asks to play you a song about heroes.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory359.png
7	103	1032		3			4	9001	1																																						Everlasting Song	You listen carefully.	Assets/Product/Texture/Image/RoleStory/ZhongguochuanshangrenNormal01.png	Bard	It's based on an ancient legend...	In the era of the blood-red moon, Crimson devoured the land, forcing heroes to leave their homeland for the sky before waging war against those that took their home—that is the ancient legend, but the bard seems to be hinting that you'll find like-minded companions at locations mentioned in the song.	Recruit companion	Assets/Product/Texture/Image/BgStory/Bgstory359.png
8	103	1033		3			1	96119	9																																						Everlasting Song	You take a break.	Assets/Product/Texture/Image/RoleStory/ZhongguochuanshangrenNormal02.png	Without a soul	Something is flickering	You filter out the bard's mumbling as you drift into sleep from fatigue. By the time you wake up, there is no trace of the bard except the few coins he left as gratitude for sharing your shelter.	Keep the money	Assets/Product/Texture/Image/BgStory/Bgstory359.png
9	104	1041		2											Drink like there's no tomorrow	Drink like there's no tomorrow		3	0	0	0	10411	Get a few drinks	Get a few drinks		3	0	0	0	10412																	Happy times	You walked into Bar Small Town		Bar Small Town	...Very lively with shouts and music...	Bar Small Town is having an exuberant celebration tonight. The Normans, a family of brewers for generations, are providing their townsfolks with this feast. This joyous occasion might be a rare opportunity on this journey for you to find some comfort.	Made up your mind	Assets/Product/Texture/Image/BgStory/Bgstory423.jpg
10	104	1042		3			4	9001	1																																						Happy times	You down a few pints in a heartbeat.		Bar Small Town	...Shouts of excitement resonate through the crowd...	Your feat has caught the attention of the crowd. A few guests revere your spirit and invite you to join them on their journey.	Recruit companion	Assets/Product/Texture/Image/BgStory/Bgstory423.jpg
